config,subset,metric,mean,median,p90,p95,n
flank_150_30,full,kl,0.1164016317130167,0.03089538661056515,0.30843155026543356,0.537074756545111,47962
flank_150_30,full,MFE_flank_150_30,-70.9480365706184,-70.7,-64.4,-62.8,47962
flank_150_30,full,freq_MFE_flank_150_30,0.00015983535290135938,7.619345e-05,0.00035840460000000014,0.0005606804499999994,47962
flank_150_30,full,ens_div_flank_150_30,57.83944873024478,56.495000000000005,81.46,87.68949999999997,47962
flank_150_30,restricted_mfe_q20,kl,0.14588315337952437,0.0311923064225366,0.39250965621666845,0.7109588285031178,9664
