chunk,type,seed,p_mean,p_levene
up_1_10,real,-,1.4152940488850412e-13,0.003134251195373911
up_11_20,real,-,0.2831999171844344,0.5755097882829716
ds_1_10,real,-,9.844860517806605e-16,1.6012900733898608e-06
ds_11_20,real,-,0.000208432893785165,0.0009199800089481014
up_1_10,shuffle,42,0.24575483492191397,0.15631774593126543
up_1_10,shuffle,43,0.607457389064173,0.15452892764459858
up_1_10,shuffle,44,0.3769230812844795,0.019337895809678353
up_1_10,shuffle,45,0.0671995038540441,0.006095017049423494
up_1_10,shuffle,46,0.8773002808907101,0.08313463601166507
up_1_10,shuffle,47,0.014168644100392442,0.4868753875378987
up_1_10,shuffle,48,0.24234926149978464,0.0016142586840168652
up_1_10,shuffle,49,0.006535568073611604,0.042977860957266585
up_1_10,shuffle,50,0.45678247366813174,0.11577728243976551
up_1_10,shuffle,51,0.00491983463018931,0.7523904649602854
up_1_10,shuffle,52,0.9136016800518948,0.5260619157719681
up_1_10,shuffle,53,0.11787386385961514,0.005414016477839372
up_1_10,shuffle,54,0.009511994353402305,0.12145507263420334
up_1_10,shuffle,55,0.11703992348302371,0.9718738530463129
up_1_10,shuffle,56,0.08065273730505162,0.9724728736587135
up_1_10,shuffle,57,0.4302877740656742,0.27568225553835235
up_1_10,shuffle,58,0.587544008782694,0.04594866168181889
up_1_10,shuffle,59,0.21295665052433138,0.943593979534291
up_1_10,shuffle,60,0.5264145076681923,0.3308816500649442
up_1_10,shuffle,61,0.9375890530867391,0.08613732517585425
up_1_10,shuffle,62,0.11464860283840596,0.26422935323545005
up_1_10,shuffle,63,0.12356747880160392,0.08177198261886687
up_1_10,shuffle,64,0.005350253673743199,0.4961513790719132
up_1_10,shuffle,65,0.456333159040925,0.3770506732776918
up_1_10,shuffle,66,0.2178744593971626,0.20000953287878678
up_1_10,shuffle,67,0.13255601097883696,0.0004941361929041133
up_1_10,shuffle,68,0.26637640270286456,0.009339275276411171
up_1_10,shuffle,69,0.21330176993374253,0.04859358459369671
