chunk,type,seed,p_mean,p_levene
ss3,real,-,0.0005050584990570633,0.07121465452928125
up_near,real,-,0.021813408343603385,0.15957290748820344
up_mid,real,-,0.02245076191909042,0.017115196514350676
up_far,real,-,0.001685512767063322,0.6258031232041165
upstream_exon,real,-,0.026079489010462163,0.2802782279897829
downstream_short,real,-,1.7629773394602902e-06,0.00019064645623067782
downstream_long,real,-,0.3361344354480091,0.03228698910706393
downstream_exon,real,-,0.01129058318367023,0.02028969756580189
ss3,shuffle,42,0.1429499926787164,0.4532400191150075
ss3,shuffle,43,0.5463151863927892,0.0013678786317361249
ss3,shuffle,44,0.44288113117630146,0.06070263436276063
ss3,shuffle,45,0.38769762623690585,0.4660656324021417
ss3,shuffle,46,0.38860038973206884,9.040005723461886e-05
ss3,shuffle,47,0.47891926605933405,0.9842977369098301
ss3,shuffle,48,0.9726451804600228,0.08168200780574787
ss3,shuffle,49,0.30101231114863575,0.2635246222732065
ss3,shuffle,50,0.8079097052492649,0.49650549363252594
ss3,shuffle,51,0.4378470792983299,0.6006402739880911
up_near,shuffle,42,0.3239609728212528,0.40714164699419964
up_near,shuffle,43,0.0027376021144435584,0.10344758897645241
up_near,shuffle,44,0.6416068542339372,0.46726842778499195
up_near,shuffle,45,0.7312978452362384,0.3482020229862858
up_near,shuffle,46,0.6455180679653942,0.6268896055629172
up_near,shuffle,47,0.9449101005831356,0.5012869015890468
up_near,shuffle,48,0.07694582634295662,0.3538060289819771
up_near,shuffle,49,0.84100566680723,0.020157719201893323
up_near,shuffle,50,0.9477608988204796,0.006407291537323515
up_near,shuffle,51,0.60829002974693,0.018522960539302278
up_mid,shuffle,42,0.30492635814808017,0.9797799309979826
up_mid,shuffle,43,0.0233036659391994,0.14286352862955343
up_mid,shuffle,44,0.012199150473287413,0.042836264995232555
up_mid,shuffle,45,0.40470934058222674,0.7641430238593151
up_mid,shuffle,46,0.983359253450579,0.06119237723273435
up_mid,shuffle,47,0.16735425078861527,0.8315356349788864
up_mid,shuffle,48,0.9344708821659299,0.5086126767188682
up_mid,shuffle,49,0.006694464312761001,0.47771893052847564
up_mid,shuffle,50,0.05024445913941253,0.002490820100444844
up_mid,shuffle,51,0.8473746151417183,0.08148457990308444
up_far,shuffle,42,0.7915241490108115,0.5935074002958417
up_far,shuffle,43,0.3439915203102885,0.05094496319880833
up_far,shuffle,44,0.2515618218350867,0.9946507274538963
up_far,shuffle,45,0.2570577224703559,0.3123392382910143
up_far,shuffle,46,0.31412673273029457,0.2299600486058847
up_far,shuffle,47,0.07489305126801879,0.7181236328384419
up_far,shuffle,48,0.0007059814825471979,8.424712955866983e-06
up_far,shuffle,49,0.8395314324199022,0.41334633929788483
up_far,shuffle,50,0.0011877352054781157,0.025053133322427226
up_far,shuffle,51,0.14325759075257655,0.009333646519807967
upstream_exon,shuffle,42,0.007109730123808281,0.49940368536505036
upstream_exon,shuffle,43,0.044796643347055465,0.15486275988753112
upstream_exon,shuffle,44,0.16311861650065998,0.981928575143129
upstream_exon,shuffle,45,7.604257797899001e-06,0.039734080213897564
upstream_exon,shuffle,46,0.05981845424366697,0.0001778871646710337
upstream_exon,shuffle,47,0.21648707075863274,0.002436739169789064
upstream_exon,shuffle,48,0.5251228667738976,0.023338634139702056
upstream_exon,shuffle,49,0.0010958305015284508,0.04342959853824508
upstream_exon,shuffle,50,0.026848488590930766,0.07376895276797947
upstream_exon,shuffle,51,0.00846173588422179,0.8769570611191917
downstream_short,shuffle,42,0.30446590569197013,0.26432643748190865
downstream_short,shuffle,43,0.007044531077691819,0.5763279918014576
downstream_short,shuffle,44,0.3239670152428161,0.017684970894566398
downstream_short,shuffle,45,0.13817905463922667,0.4303161986510092
downstream_short,shuffle,46,0.005874167174876769,0.14253578110735962
downstream_short,shuffle,47,0.015384834209849528,0.19087864287088785
downstream_short,shuffle,48,0.2866638897330053,0.9920308896629052
downstream_short,shuffle,49,0.2836675200528124,0.1279718649182315
downstream_short,shuffle,50,0.632898290104192,0.11747560688668544
downstream_short,shuffle,51,0.09132629564753628,0.0002770807167617333
downstream_long,shuffle,42,0.6975805657603767,0.720789424517681
downstream_long,shuffle,43,0.00708801226222768,0.6897143106891755
downstream_long,shuffle,44,0.4541827960440082,0.003992138855119554
downstream_long,shuffle,45,0.4178460650691919,0.3841986536971849
downstream_long,shuffle,46,0.01592912591348937,0.8121613605086244
downstream_long,shuffle,47,0.000291641452352095,0.15076431720890515
downstream_long,shuffle,48,0.5552013069611053,0.012501412611346435
downstream_long,shuffle,49,0.004490894456160353,0.4018854854041941
downstream_long,shuffle,50,0.2734256439496025,0.09976406098177258
downstream_long,shuffle,51,0.10293116801308114,0.8600501765997326
downstream_exon,shuffle,42,0.054285244105774975,0.994904555251481
downstream_exon,shuffle,43,0.005864168212674009,0.07579507395115008
downstream_exon,shuffle,44,6.027965350781524e-05,0.5544144641343459
downstream_exon,shuffle,45,0.044776107823326396,0.16344541825008072
downstream_exon,shuffle,46,0.00023230382379477654,0.007695548013177063
downstream_exon,shuffle,47,0.0002343890626385154,0.0015839143083594754
downstream_exon,shuffle,48,2.499320062548111e-05,0.0026802738304944986
downstream_exon,shuffle,49,0.0007770665452477108,0.3533153146543328
downstream_exon,shuffle,50,0.06342810719995688,0.9403398145945036
downstream_exon,shuffle,51,0.005543112619515299,0.051185231814941515
