chunk,type,seed,p_mean,p_levene
up_1_20,shuffle,72,0.902927025286333,0.42542473803722264
up_1_20,shuffle,73,0.975147407272379,0.12070580933552937
up_1_20,shuffle,74,0.033784583824896575,0.09688419814533109
up_1_20,shuffle,75,0.6516486633541614,0.8992513913154817
up_1_20,shuffle,76,0.9848282279708862,0.06669283695360054
up_1_20,shuffle,77,0.23485729124056365,0.15549469910504268
up_1_20,shuffle,78,0.2663541395359261,0.11799578385006926
up_1_20,shuffle,79,0.489331458350194,1.2521430352596274e-06
up_1_20,shuffle,80,0.7408980302633845,0.0035934151851953395
up_1_20,shuffle,81,0.09990383949959272,0.020726953792836067
up_1_20,shuffle,82,0.07400102363392122,0.4646958138416281
up_1_20,shuffle,83,0.8278306362762905,0.07567251563704126
up_1_20,shuffle,84,0.4051881671352281,0.3674133783993456
up_1_20,shuffle,85,0.1980221119552986,0.4057083893250963
up_1_20,shuffle,86,0.16130594560253195,0.3071725789650852
up_1_20,shuffle,87,0.28873225797214125,0.649102512510286
up_1_20,shuffle,88,0.28257969904081653,0.35437875509666533
up_1_20,shuffle,89,0.14488461825287816,0.10234207085683489
up_1_20,shuffle,90,0.28915241825142135,0.07429923697816404
up_1_20,shuffle,91,0.6607706345540818,0.002321054419756896
up_1_20,shuffle,92,0.3490749838419716,0.4683381753319157
up_1_20,shuffle,93,0.032384796771579696,0.3921444967591427
up_1_20,shuffle,94,0.5107958413371368,0.9879727192908873
up_1_20,shuffle,95,0.5552216537946573,0.967655334641954
up_1_20,shuffle,96,0.37833532994259156,0.510351949784435
up_1_20,shuffle,97,0.9321316151043388,0.15775020331859288
up_1_20,shuffle,98,0.5601160610011211,9.968275203379568e-07
up_1_20,shuffle,99,0.5173061456420447,0.4741811441105176
up_1_20,shuffle,100,0.18231939296582256,0.10085532893884691
up_1_20,shuffle,101,0.04498686352244412,0.46864608299594396
up_1_20,shuffle,102,0.3451000742284335,0.18072113349514365
up_1_20,shuffle,103,0.05699982317477483,0.8918895704521727
up_1_20,shuffle,104,0.12901204648149872,0.1934456565599384
up_1_20,shuffle,105,0.24784410361222464,0.044004689196417625
up_1_20,shuffle,106,0.004942449325617838,0.35546427220556753
up_1_20,shuffle,107,0.14443928138795276,0.11461722001360947
up_1_20,shuffle,108,0.37350124509500526,0.6304872556069422
up_1_20,shuffle,109,0.33587944662611396,0.0003284127082453268
up_1_20,shuffle,110,0.7639207236079768,0.003969484263335492
up_1_20,shuffle,111,0.24834724784147527,0.30488312587993294
up_1_20,shuffle,112,0.03565882953248675,0.02709876152885074
up_1_20,shuffle,113,0.07313161514253506,0.00020071202787077828
up_1_20,shuffle,114,0.6085346112241585,0.13849605752506397
up_1_20,shuffle,115,0.9388488365645385,0.03220580398638613
up_1_20,shuffle,116,0.7281077519081262,0.2492430715447163
up_1_20,shuffle,117,0.8851735317658209,0.6621815807391385
up_1_20,shuffle,118,0.6561088388772318,0.9538215671128845
up_1_20,shuffle,119,0.664144317758931,0.0012945054817189057
up_1_20,shuffle,120,0.14527036649358924,0.022668519514696877
up_1_20,shuffle,121,0.6936181159933056,0.07384227566355511
up_1_20,shuffle,122,0.23272388872206268,0.5610410089072306
up_1_20,shuffle,123,0.23837789641691826,0.7630567554050102
up_1_20,shuffle,124,0.4318938125159001,3.090444139754281e-05
up_1_20,shuffle,125,0.2617252653345428,0.0003398063915068607
up_1_20,shuffle,126,0.0016731585582007258,0.5518361264794107
up_1_20,shuffle,127,0.04167865053501036,0.7891961299953573
up_1_20,shuffle,128,0.9471258357644928,0.7349652335995664
up_1_20,shuffle,129,0.1516189348026034,0.749519482382627
up_1_20,shuffle,130,0.7465018564811716,0.02422520271661603
up_1_20,shuffle,131,0.31452828522151677,0.41613912519434626
up_1_20,shuffle,132,0.4179945914906279,0.6372133557727214
up_1_20,shuffle,133,0.44792228390712086,1.4785766909022475e-07
up_1_20,shuffle,134,0.714968008477242,0.13917298530638314
up_1_20,shuffle,135,0.22139277107464164,0.8584629734479454
up_1_20,shuffle,136,0.033161408826942004,0.06355975836057082
up_1_20,shuffle,137,0.4661913235642873,0.0003339687426885622
up_1_20,shuffle,138,0.5935098448484359,2.0350958477870917e-05
up_1_20,shuffle,139,0.14789167517135912,0.0031128011422005657
up_1_20,shuffle,140,0.004245569323494054,0.06402870205904648
