chunk,type,seed,p_mean,p_levene
ss3,real,-,0.0002388580454216441,0.055059565390635466
up_near,real,-,0.014228598063911323,0.11968849945538357
up_mid,real,-,0.019956535460580536,0.014955718428071493
up_far,real,-,0.0007580302944638448,0.5182821046944188
up_total,real,-,0.00039934822290231867,0.0002783386893793879
upstream_exon,real,-,0.021497236906031978,0.2535125902590565
downstream_short,real,-,5.887600088235581e-07,8.642057162109257e-05
downstream_long,real,-,0.26903411077388517,0.023960770226768516
downstream_exon,real,-,0.007292171996072253,0.016100042808465758
ss3,shuffle,42,0.20327610148161107,0.49624979472249814
ss3,shuffle,43,0.4902714280626517,0.00046036077438161714
ss3,shuffle,44,0.506432683726599,0.05227684710498994
ss3,shuffle,45,0.3615650585342913,0.4675228406885607
ss3,shuffle,46,0.36246503936525426,6.839391567637051e-05
ss3,shuffle,47,0.5507574284211703,0.9060720976063799
ss3,shuffle,48,0.9511380681832189,0.063258426624543
ss3,shuffle,49,0.2868170096728422,0.24632212838148573
ss3,shuffle,50,0.7514698712543072,0.5452701146920298
ss3,shuffle,51,0.3173745198885856,0.6696726332939553
ss3,shuffle,52,0.7387116567796047,0.24742834241872205
ss3,shuffle,53,0.08234166171197849,0.014261141449527849
ss3,shuffle,54,0.891220383968398,2.2111765755836874e-06
ss3,shuffle,55,0.6752015628831111,0.005256299259790232
ss3,shuffle,56,0.45615439587899465,0.5360498434336358
ss3,shuffle,57,0.11517910033792722,0.40172471493778855
ss3,shuffle,58,0.5200360826333232,0.7723744659450705
ss3,shuffle,59,0.38413450132800697,0.04091353132218907
ss3,shuffle,60,0.16826903227964227,0.0004006787752231728
ss3,shuffle,61,0.42879597775585687,0.11074701023241189
ss3,shuffle,62,0.2821874624906516,0.16328844004057202
ss3,shuffle,63,0.003957799130054065,0.04665773500781032
ss3,shuffle,64,0.5864945851226238,0.5119535207627599
ss3,shuffle,65,0.6694175559087234,0.9624819885284578
ss3,shuffle,66,0.8864129639566458,0.9902458996294785
ss3,shuffle,67,0.7903353942542449,0.6301179985604811
ss3,shuffle,68,0.012595186564018767,0.15104378041948585
ss3,shuffle,69,0.7707310707724622,0.9749822656831721
ss3,shuffle,70,0.16902160819959086,0.0010367407126354107
ss3,shuffle,71,0.8785503962409045,2.2287262831115835e-05
ss3,shuffle,72,0.4930592876086202,0.2250066302839631
ss3,shuffle,73,0.5974433480247892,0.06257524653874696
ss3,shuffle,74,0.39708963479760806,0.0016444873881652233
ss3,shuffle,75,0.5618996640061099,0.7431309139742575
ss3,shuffle,76,0.22848815171157624,5.256575331378092e-05
ss3,shuffle,77,0.9908173630047046,8.216379719547766e-07
ss3,shuffle,78,0.7649756852927043,0.13737062655926796
ss3,shuffle,79,0.482931953890191,0.5207166612253548
ss3,shuffle,80,0.5232049608530144,0.4417942821129448
ss3,shuffle,81,0.13356508515220344,0.056587290513568096
ss3,shuffle,82,0.6129355409135814,0.6342345037988376
ss3,shuffle,83,0.4726461731119602,0.795035748413287
ss3,shuffle,84,0.20637994296833675,0.23903111330588864
ss3,shuffle,85,0.6463317305616054,0.8196196304648552
ss3,shuffle,86,0.2037792251274308,0.2629328810675116
ss3,shuffle,87,0.2710713838071505,8.764025405145028e-05
ss3,shuffle,88,0.23895750611201155,0.4378623008367029
ss3,shuffle,89,0.1917319273963778,0.8517322486248292
ss3,shuffle,90,0.24102203556503854,0.9083905253290888
ss3,shuffle,91,0.06859978663753179,0.33466798938248876
ss3,shuffle,92,0.19444370345090203,0.9827243567626929
ss3,shuffle,93,0.16606712954678376,0.6572243429018007
ss3,shuffle,94,0.03191381359323481,0.755334543886338
ss3,shuffle,95,0.15817069810993897,0.46830100200492525
ss3,shuffle,96,0.04701947146620536,0.025206320629323493
ss3,shuffle,97,0.15198279320511568,0.00326382752539528
ss3,shuffle,98,0.0001892108509689068,0.49044347695986157
ss3,shuffle,99,0.4824656602935115,0.15881288346748398
ss3,shuffle,100,0.1896330923854906,0.9992169822738657
ss3,shuffle,101,0.8679922758095626,0.04913771377929633
ss3,shuffle,102,0.03842609596364402,0.04329700978800509
ss3,shuffle,103,0.050849526717797126,0.8022305373001498
ss3,shuffle,104,0.0046436013738803805,0.5917361961374985
ss3,shuffle,105,0.9472593565093058,0.27664630154037406
ss3,shuffle,106,0.4561578579926308,0.6102119824888306
ss3,shuffle,107,0.5703054803157073,0.7131149170452926
ss3,shuffle,108,0.025527131473336993,0.07448637895454925
ss3,shuffle,109,0.22933796441043428,0.14403640411570895
ss3,shuffle,110,0.044184539723439456,5.839960120502138e-06
ss3,shuffle,111,0.9704360373278392,0.5485860933285085
ss3,shuffle,112,0.23094442144876845,0.869579089441857
ss3,shuffle,113,0.6698171756894693,0.770162734638036
ss3,shuffle,114,0.06580246303010905,0.017324585270663242
ss3,shuffle,115,0.11911828930146363,0.7961176500330246
ss3,shuffle,116,0.6758962198841092,5.278733675172194e-06
ss3,shuffle,117,0.4023227770308325,0.3640990906186036
ss3,shuffle,118,0.3268205277611589,0.0024761905059854736
ss3,shuffle,119,0.5439067490082338,0.8999665511148487
ss3,shuffle,120,0.5898400282454287,0.9873917683107251
ss3,shuffle,121,0.1019198584556583,0.5345361826540725
ss3,shuffle,122,0.06712952332398105,3.139321303699931e-05
ss3,shuffle,123,0.04625138690546266,0.03184172892696323
ss3,shuffle,124,0.18281894330306347,0.7391408957861362
ss3,shuffle,125,0.05344352036549531,0.33919358749208006
ss3,shuffle,126,0.07647809207411421,0.2920390030859894
ss3,shuffle,127,0.476785140897637,0.0662417118526539
ss3,shuffle,128,0.9310734150198686,0.16328548663340015
ss3,shuffle,129,0.7540115744348407,0.05169322820842195
ss3,shuffle,130,0.162314000760233,0.18150653238189685
ss3,shuffle,131,0.6443987128376316,0.1849414622603974
ss3,shuffle,132,0.7155544457792217,0.0006716904553230934
ss3,shuffle,133,0.1317029208371354,0.21879061146551082
ss3,shuffle,134,0.14291337185246158,0.6021866410187627
ss3,shuffle,135,0.6665984925952062,0.1441668401788807
ss3,shuffle,136,0.7152134952942796,0.6160563667347224
ss3,shuffle,137,0.38754704354812636,0.4776512539283483
ss3,shuffle,138,0.1590902961781328,0.10262262361922081
ss3,shuffle,139,3.695397886722935e-05,0.5859850059086333
ss3,shuffle,140,0.5629291587565979,0.0023255059114222214
ss3,shuffle,141,0.48957923011061477,0.7234239380474438
up_near,shuffle,42,0.2630910058268763,0.42799824601154707
up_near,shuffle,43,0.0016748394760745685,0.08090069310931958
up_near,shuffle,44,0.6627204068819293,0.4748009798120287
up_near,shuffle,45,0.5929197743799,0.38461724385114593
up_near,shuffle,46,0.5898760861386465,0.5841296883170285
up_near,shuffle,47,0.9355548810668698,0.40715293321619145
up_near,shuffle,48,0.05351443756502972,0.3462756243294807
up_near,shuffle,49,0.9314979130374677,0.011779346984724614
up_near,shuffle,50,0.8145915111005779,0.005307608675167403
up_near,shuffle,51,0.5034896868794302,0.01796678187264085
