config,n,mean_kl,median_kl,p90_kl,p95_kl
baseline,47962,0.0999041919654413,0.02029903212347625,0.2682149710122982,0.4673265184881426
vienna60,47962,0.09750575236888664,0.0181680615796823,0.25848290941166663,0.47161337387067065
flank_40_30,47962,0.10397117817173877,0.0190171245041018,0.27781711549828336,0.49644721607442005
