seed,stage,epoch,train_loss,val_kl,val_mse,test_kl,test_mse,sumdiff_w,sumdiff_b
242,1,1,285.08902079,0.45436539,0.14893815,0.43840581,0.14489609,2.76915169,0.00771999
242,1,2,9.27232678,0.46218995,0.15850810,0.44366987,0.15289452,2.76891804,0.00769269
242,1,3,9.21809476,0.44082109,0.15091199,0.42306303,0.14560302,2.76855946,0.00769662
242,1,4,9.12771439,0.42519602,0.13934010,0.41078889,0.13573086,2.76806498,0.00772327
242,1,5,8.97778923,0.41905913,0.13558721,0.40574303,0.13246031,2.76747394,0.00772865
242,1,6,8.84020148,0.37078877,0.12790506,0.35622285,0.12335281,2.76673079,0.00770240
242,1,7,8.63817543,0.40422385,0.13086089,0.39439610,0.12861927,2.76594424,0.00774108
242,1,8,8.56028051,0.39701267,0.12930543,0.38893054,0.12745204,2.76455641,0.00774807
242,1,9,8.49342862,0.38107053,0.12212790,0.37362788,0.12038171,2.76199579,0.00775227
242,1,10,8.55369502,0.45564129,0.14292570,0.45023216,0.14183024,2.75656843,0.00776887
242,1,11,8.18326374,0.32020218,0.10540651,0.31502821,0.10404715,2.75206518,0.00774940
242,1,12,8.27498306,0.47420063,0.16559266,0.46485775,0.16215695,2.74208093,0.00766607
242,1,13,8.08558188,0.28100351,0.09879009,0.27425841,0.09640947,2.72982478,0.00769357
242,1,14,7.93227493,0.59975308,0.20523346,0.59131465,0.20224285,2.71558952,0.00765084
242,1,15,7.88571271,0.25052898,0.08285966,0.24721671,0.08197472,2.69343376,0.00774010
242,1,16,8.00813850,0.25084085,0.08756348,0.24629248,0.08603278,2.65001464,0.00769798
242,1,17,7.70499577,0.22047862,0.07334011,0.21739863,0.07257950,2.61530781,0.00773009
242,1,18,7.77291579,0.38944277,0.13792268,0.38360520,0.13568547,2.55009627,0.00766821
242,1,19,7.59913503,0.23919325,0.07889242,0.23664893,0.07824723,2.49131989,0.00774331
242,1,20,7.66362438,0.34969446,0.12438817,0.34464588,0.12248067,2.39204621,0.00767289
242,1,21,7.56204776,0.34188337,0.11178277,0.34035078,0.11114679,2.28853893,0.00778053
242,1,22,7.59621078,0.20944083,0.07043849,0.20676385,0.06981711,2.16798425,0.00773163
242,1,23,7.45397457,0.21598575,0.07378197,0.21269298,0.07288912,2.07027698,0.00771791
242,1,24,7.39455034,0.22225666,0.07405171,0.21995782,0.07350996,2.00284815,0.00775649
242,1,25,7.37548965,0.23575260,0.07857248,0.23352634,0.07799787,1.89315832,0.00777239
242,1,26,7.30163150,0.25563299,0.08979301,0.25211354,0.08869205,1.86701822,0.00770772
242,1,27,7.28982522,0.23799347,0.07888889,0.23579940,0.07831929,1.78449488,0.00778791
242,1,28,7.29385491,0.21628540,0.07372499,0.21292771,0.07286288,1.70718873,0.00774596
242,1,29,7.17435783,0.20884068,0.06959717,0.20668311,0.06911958,1.69330430,0.00778193
242,1,30,7.17611105,0.24816078,0.08250681,0.24641677,0.08202705,1.61174512,0.00782309
242,1,31,7.16898633,0.29706084,0.10536005,0.29301845,0.10399230,1.55831790,0.00772409
242,1,32,7.07140095,0.36683617,0.13033692,0.36309365,0.12891854,1.56089449,0.00771344
242,1,33,7.09608012,0.23556611,0.08174430,0.23239927,0.08090024,1.46941853,0.00776960
242,1,34,6.98237041,0.22213765,0.07353762,0.22028678,0.07313098,1.46079254,0.00784896
242,1,35,6.96940600,0.21430953,0.07097975,0.21217569,0.07051531,1.41171265,0.00785387
242,1,36,6.90813164,0.41682026,0.13288077,0.41624670,0.13237065,1.38272858,0.00796377
242,1,37,6.91803580,0.22397536,0.07409204,0.22218525,0.07368631,1.33567369,0.00789349
242,1,38,6.83764170,0.22115709,0.07601813,0.21837131,0.07534689,1.30738914,0.00783435
242,1,39,6.84452745,0.20569360,0.06936247,0.20335156,0.06889999,1.24688447,0.00787679
242,1,40,6.75303184,0.21781169,0.07195009,0.21574112,0.07150906,1.23614454,0.00793244
242,1,41,6.70404366,0.29773303,0.09775607,0.29669707,0.09734928,1.21058726,0.00800880
242,1,42,6.68915638,0.23417350,0.08123493,0.23134108,0.08050422,1.17219961,0.00788159
242,1,43,6.63530128,0.20636237,0.06972728,0.20432851,0.06940637,1.13984478,0.00793875
242,1,44,6.59360165,0.22798133,0.07882642,0.22502391,0.07804940,1.10874116,0.00791899
242,1,45,6.45800390,0.21712918,0.07442953,0.21466228,0.07387008,1.14519107,0.00794234
242,1,46,6.49176944,0.20966588,0.07127935,0.20739074,0.07084466,1.08324087,0.00797606
242,1,47,6.37929343,0.20691746,0.06854888,0.20507364,0.06826006,1.09489965,0.00804069
242,1,48,6.38116364,0.21650033,0.07177540,0.21525304,0.07159338,1.05881917,0.00808392
242,1,49,6.30181705,0.25403546,0.08904089,0.25095128,0.08813444,1.03725958,0.00797672
242,1,50,6.24795409,0.21081230,0.07175833,0.20868130,0.07138672,1.02952373,0.00804877
242,2,1,14.66016973,0.35760679,0.12529985,0.35526157,0.12431132,1.22517002,0.00749654
242,2,2,9.26430638,0.31015181,0.09988736,0.31000146,0.10016766,1.21121144,0.00755082
242,2,3,9.57217056,0.24822933,0.08228620,0.24895065,0.08285844,1.17145705,0.00755195
242,2,4,9.29143769,0.20943484,0.07126405,0.20937614,0.07150390,1.12286198,0.00753766
242,2,5,9.17194517,0.69534879,0.19876105,0.69774593,0.19893029,1.05857694,0.00761582
242,2,6,8.67782527,0.25659470,0.09034023,0.25523513,0.08980876,1.01129866,0.00753137
242,2,7,8.64686403,0.34050977,0.11342458,0.34159882,0.11366152,0.94207472,0.00760031
242,2,8,8.30230980,0.24098176,0.08440526,0.23942242,0.08390078,0.90849423,0.00754272
242,2,9,8.15525901,0.20747821,0.07070916,0.20628276,0.07053287,0.86939800,0.00756689
242,2,10,7.97409915,0.36364805,0.11974144,0.36463292,0.11988828,0.83936101,0.00765491
242,2,11,7.85448709,0.27341979,0.09134548,0.27344510,0.09145680,0.80113280,0.00766363
242,2,12,7.61561237,0.22045900,0.07619245,0.21862874,0.07573594,0.77249914,0.00762114
242,2,13,7.38090398,0.23581982,0.08235631,0.23359056,0.08167147,0.79179215,0.00764531
242,2,14,7.27306577,0.20222098,0.06752951,0.20170691,0.06766425,0.78434706,0.00774886
242,2,15,7.06935456,0.23564491,0.07835648,0.23600285,0.07868373,0.79466510,0.00782900
242,2,16,6.90121671,0.35889407,0.11648902,0.35932884,0.11658881,0.77145600,0.00794607
242,2,17,6.76778714,0.19539595,0.06516027,0.19434296,0.06515840,0.76545328,0.00794009
242,2,18,6.66074687,0.24059869,0.08009422,0.24032295,0.08014243,0.73381013,0.00807866
242,2,19,6.47327033,0.19598444,0.06527493,0.19540491,0.06543302,0.74796522,0.00812700
242,2,20,6.31235905,0.18958264,0.06374650,0.18841409,0.06371252,0.76563936,0.00817819
242,2,21,6.21506821,0.19141847,0.06447984,0.19009337,0.06440453,0.73730516,0.00827103
242,2,22,6.09326478,0.21571532,0.07152152,0.21515686,0.07168099,0.74257964,0.00844566
242,2,23,5.96436652,0.19385810,0.06570822,0.19226642,0.06551303,0.76097637,0.00845732
242,2,24,5.87158600,0.23073785,0.08034443,0.22856660,0.07974370,0.75314814,0.00851022
242,2,25,5.79304329,0.18754354,0.06264673,0.18647515,0.06266400,0.73897892,0.00872356
242,2,26,5.69281291,0.19617798,0.06672376,0.19441039,0.06642890,0.73439974,0.00877711
242,2,27,5.58102257,0.20495903,0.07030248,0.20270256,0.06979463,0.73268187,0.00886569
242,2,28,5.52732469,0.19511691,0.06477343,0.19436212,0.06489553,0.73793882,0.00908622
242,2,29,5.39563135,0.18985469,0.06316580,0.18892477,0.06321814,0.74135172,0.00916914
242,2,30,5.34525927,0.19513732,0.06642341,0.19341305,0.06613400,0.74184847,0.00919007
242,2,31,5.22618206,0.18516119,0.06191676,0.18384443,0.06181662,0.74499041,0.00933852
242,2,32,5.19667812,0.18675353,0.06240498,0.18580130,0.06248807,0.73207510,0.00947197
242,2,33,5.09710724,0.20358165,0.06739358,0.20276279,0.06747452,0.72781396,0.00962307
242,2,34,4.98968090,0.18721348,0.06318388,0.18535414,0.06286556,0.73684877,0.00959734
242,2,35,4.93989857,0.22624534,0.07499013,0.22611646,0.07523634,0.72948509,0.00983145
242,2,36,4.87036132,0.18855307,0.06263874,0.18734878,0.06258402,0.72486538,0.00984690
242,2,37,4.77737555,0.19746306,0.06543023,0.19687603,0.06556895,0.73545039,0.00994977
242,2,38,4.71551879,0.18099472,0.06050557,0.17965106,0.06035544,0.73382390,0.00992479
242,2,39,4.68071434,0.18223304,0.06110523,0.18054077,0.06083104,0.68317384,0.00998208
242,2,40,4.56232034,0.19042784,0.06483230,0.18842834,0.06437426,0.73048699,0.00996955
242,2,41,4.48865373,0.19608030,0.06513362,0.19560883,0.06525045,0.73843342,0.01020871
242,2,42,4.40913575,0.17797596,0.05957081,0.17669687,0.05936441,0.73926306,0.01019665
242,2,43,4.37421302,0.17960897,0.05991222,0.17842554,0.05975807,0.73052061,0.01026685
242,2,44,4.29173951,0.18083436,0.06110975,0.17911639,0.06070319,0.74138153,0.01023408
242,2,45,4.22397957,0.18153809,0.06143091,0.17968000,0.06096883,0.72652668,0.01022849
242,2,46,4.17345917,0.17819062,0.06007611,0.17639249,0.05960999,0.73514050,0.01030789
242,2,47,4.09999041,0.19455871,0.06679732,0.19231021,0.06605664,0.74640280,0.01027712
242,2,48,4.05686235,0.19477739,0.06492419,0.19466980,0.06501956,0.75190234,0.01058426
242,2,49,3.97062628,0.19151253,0.06370491,0.19122084,0.06373585,0.76496553,0.01057465
242,2,50,3.93221586,0.18122000,0.06035115,0.18043873,0.06019057,0.76473558,0.01055856
