seed,stage,epoch,train_loss,val_kl,val_mse,test_kl,test_mse,sumdiff_w,sumdiff_b
142,1,1,11.54784529,0.45511243,0.16036720,0.46073407,0.16214895,-0.75088990,0.00158385
142,1,2,9.74043404,0.41220834,0.14499821,0.41763250,0.14680142,-0.70591450,0.00160321
142,1,3,9.34749358,0.43075798,0.14313796,0.43874103,0.14572346,-0.67357981,0.00173459
142,1,4,8.99872308,0.34940000,0.12326535,0.35387311,0.12483762,-0.66888362,0.00161854
142,1,5,8.69342765,0.33550432,0.11908511,0.33890871,0.12032951,-0.69157887,0.00161227
142,1,6,8.32962298,0.41663695,0.15001948,0.41827548,0.15048957,-0.77297860,0.00156208
142,1,7,7.90662566,0.31597405,0.11316434,0.31770928,0.11358553,-0.89869690,0.00162907
142,1,8,7.57172869,0.32213737,0.11555869,0.32359770,0.11569217,-1.01751828,0.00163910
142,1,9,7.33520090,0.30496357,0.10878866,0.30573596,0.10868895,-1.09325385,0.00166122
142,1,10,7.19057179,0.22060171,0.07581939,0.22391414,0.07676975,-1.11220145,0.00173701
142,1,11,7.02742440,0.25455437,0.08978987,0.25657512,0.09015362,-1.14930606,0.00171514
142,1,12,6.97311550,0.36684133,0.12975566,0.36723741,0.12941234,-1.12990260,0.00167733
142,1,13,6.91699567,0.28708466,0.10202934,0.28850500,0.10216129,-1.07180989,0.00172584
142,1,14,6.77465563,0.21294410,0.07083743,0.21850211,0.07264246,-1.10957587,0.00186131
142,1,15,6.67690348,0.20729513,0.06922778,0.21268206,0.07098496,-1.11943197,0.00186911
142,1,16,6.67835759,0.23806670,0.07825203,0.24489785,0.08053116,-1.07919836,0.00194145
142,1,17,6.62671527,0.20111571,0.06772940,0.20556343,0.06915778,-1.05099654,0.00191014
142,1,18,6.55312817,0.20244004,0.06779928,0.20720108,0.06935025,-1.03825426,0.00194595
142,1,19,6.50330687,0.21145063,0.07273609,0.21435895,0.07355116,-0.99106222,0.00192188
142,1,20,6.42455107,0.22396945,0.07412821,0.23021960,0.07616628,-1.02022064,0.00203840
142,1,21,6.32761862,0.26140454,0.08567148,0.26902296,0.08822193,-1.01901567,0.00209503
142,1,22,6.29961020,0.21373852,0.07378302,0.21643453,0.07448807,-0.98961055,0.00198207
142,1,23,6.26187635,0.20819858,0.06936316,0.21325101,0.07102482,-0.95997518,0.00210082
142,1,24,6.18521358,0.19821792,0.06693394,0.20194410,0.06807031,-0.96894085,0.00208343
142,1,25,6.15534379,0.20144908,0.06734954,0.20583454,0.06875255,-0.92923778,0.00213879
142,1,26,6.06819746,0.20683409,0.06874934,0.21188944,0.07042971,-0.92944163,0.00218911
142,1,27,6.07327178,0.20712056,0.06890494,0.21202369,0.07052969,-0.87541878,0.00223480
142,1,28,5.93981477,0.22676965,0.07900309,0.22873994,0.07942101,-0.89885581,0.00214201
142,1,29,5.88841819,0.19864880,0.06649615,0.20256050,0.06772991,-0.89919686,0.00226092
142,1,30,5.84515216,0.20376453,0.06969182,0.20648047,0.07041450,-0.89690453,0.00224336
142,1,31,5.77684481,0.19757691,0.06659245,0.20100357,0.06762429,-0.87276930,0.00230731
142,1,32,5.71056753,0.22190996,0.07716029,0.22361750,0.07749776,-0.86938387,0.00226516
142,1,33,5.68119101,0.20044148,0.06818382,0.20339838,0.06901216,-0.85802281,0.00235445
142,1,34,5.56845446,0.22658885,0.07891136,0.22828295,0.07923486,-0.86233360,0.00232242
142,1,35,5.51297848,0.25802064,0.09103637,0.25877604,0.09101572,-0.84037286,0.00230383
142,1,36,5.47507580,0.19755064,0.06638507,0.20095594,0.06741758,-0.83639258,0.00248151
142,1,37,5.39601508,0.19834121,0.06709214,0.20148090,0.06799186,-0.84334630,0.00249538
142,1,38,5.36191628,0.25984597,0.09178903,0.26049409,0.09171946,-0.82155520,0.00240547
142,1,39,5.30726065,0.19965238,0.06663165,0.20351643,0.06785804,-0.80691522,0.00262778
142,1,40,5.22698041,0.19745041,0.06606796,0.20087376,0.06711855,-0.81949621,0.00265143
142,1,41,5.16081754,0.20132217,0.06865527,0.20386201,0.06931519,-0.81927127,0.00262982
142,1,42,5.09449616,0.22141009,0.07700385,0.22281916,0.07723505,-0.81219196,0.00260848
142,1,43,5.04245785,0.19769076,0.06676957,0.20060866,0.06758772,-0.82237113,0.00272989
