seed,stage,epoch,train_loss,val_kl,val_mse,test_kl,test_mse,sumdiff_w,sumdiff_b
42,2,17,5.26908242,0.19033551,0.06357991,0.18769712,0.06306630,0.66819781,0.00086323
42,2,18,5.16439967,0.18998226,0.06366196,0.18715776,0.06302503,0.67088032,0.00095568
42,2,19,5.05678783,0.19109820,0.06363870,0.18861675,0.06323351,0.66570222,0.00109049
42,2,20,4.95467377,0.20199509,0.06669746,0.19993327,0.06667748,0.67549849,0.00124135
42,2,21,4.87525442,0.18974691,0.06343630,0.18689743,0.06282451,0.67802292,0.00132435
42,2,22,4.79291382,0.19237387,0.06507678,0.18912070,0.06416819,0.68186373,0.00142260
42,2,23,4.69803868,0.20850359,0.07190768,0.20511913,0.07075558,0.67885685,0.00149259
42,2,24,4.62364780,0.18987046,0.06383381,0.18666941,0.06301705,0.68128222,0.00170463
42,2,25,4.52831746,0.18786366,0.06309365,0.18477157,0.06229381,0.69601637,0.00183167
42,2,26,4.45682375,0.21464078,0.07057076,0.21260079,0.07062409,0.69291645,0.00211593
42,2,27,4.37684148,0.19732285,0.06515428,0.19482816,0.06487933,0.70161271,0.00220348
42,2,28,4.31136469,0.18746475,0.06301077,0.18405986,0.06206999,0.69693005,0.00221525
42,2,29,4.24133531,0.19174987,0.06534000,0.18827035,0.06417473,0.69811165,0.00225293
42,2,30,4.16314925,0.18498071,0.06217854,0.18201936,0.06137647,0.70504332,0.00239227
42,2,31,4.09750137,0.18454790,0.06170393,0.18138845,0.06089663,0.72368270,0.00252495
42,2,32,4.03277639,0.19203203,0.06564497,0.18850195,0.06439582,0.72384661,0.00248697
42,2,33,3.97553607,0.19705025,0.06513464,0.19461802,0.06479895,0.73122507,0.00280312
42,2,34,3.89952072,0.18267479,0.06102765,0.17968116,0.06025221,0.74530041,0.00272564
42,2,35,3.86002848,0.18653918,0.06354744,0.18337623,0.06241575,0.74589002,0.00273779
42,2,36,3.80544184,0.23063468,0.08062479,0.22671214,0.07912916,0.74658853,0.00262931
42,2,37,3.74332380,0.19706650,0.06783715,0.19346065,0.06647598,0.75821507,0.00279827
42,2,38,3.68990868,0.18468289,0.06274500,0.18126818,0.06153836,0.75424087,0.00286273
42,2,39,3.63308018,0.19997869,0.06618986,0.19812420,0.06604851,0.77774972,0.00318192
42,2,40,3.59226411,0.18967603,0.06499859,0.18618426,0.06365563,0.78085613,0.00293298
42,2,41,3.53738524,0.17654016,0.05936485,0.17383548,0.05843550,0.79587299,0.00312226
42,2,42,3.50127390,0.17647427,0.05915347,0.17370588,0.05827441,0.80149001,0.00317170
42,2,43,3.44643536,0.17700955,0.05969742,0.17369223,0.05850877,0.80792004,0.00314007
42,2,44,3.41192340,0.17753201,0.05920296,0.17524575,0.05855783,0.81825817,0.00328935
42,2,45,3.37391577,0.17465058,0.05844752,0.17205321,0.05758428,0.82336402,0.00326935
42,2,46,3.30726493,0.20045603,0.06614180,0.19885245,0.06598855,0.84544945,0.00349202
42,2,47,3.27991644,0.17948426,0.06108622,0.17627956,0.05981708,0.85229707,0.00321483
42,2,48,3.23168164,0.17551021,0.05852588,0.17365556,0.05800473,0.86405712,0.00341421
42,2,49,3.19155063,0.18139816,0.06195049,0.17816100,0.06062228,0.87836802,0.00321377
42,2,50,3.16364607,0.17073044,0.05719926,0.16824243,0.05630769,0.88906759,0.00344082
42,3,1,3.19211597,0.17242894,0.05804788,0.16979944,0.05706852,0.88081574,0.00337640
42,3,2,3.12844084,0.17227870,0.05737736,0.17087037,0.05696965,0.89196092,0.00362703
42,3,3,3.09589286,0.18668928,0.06404427,0.18359480,0.06276126,0.91175526,0.00336203
42,3,4,3.06911839,0.17249138,0.05729798,0.17126378,0.05696032,0.92512339,0.00368988
42,3,5,3.03676454,0.17314691,0.05751041,0.17207005,0.05729160,0.93267387,0.00372839
42,3,6,3.00013115,0.18074429,0.06177260,0.17844161,0.06072431,0.94855177,0.00354453
42,3,7,2.97451296,0.16582330,0.05551595,0.16428175,0.05490328,0.95902461,0.00373574
42,3,8,2.93293899,0.16476814,0.05500269,0.16358021,0.05456232,0.97413510,0.00374626
42,3,9,2.91759123,0.16775702,0.05572232,0.16735398,0.05567525,0.98099303,0.00387283
42,3,10,2.87265028,0.16424475,0.05512651,0.16251055,0.05441267,1.00593269,0.00367562
42,3,11,2.84187872,0.16585916,0.05591517,0.16399137,0.05509452,1.02235246,0.00363125
42,3,12,2.82980566,0.19202575,0.06346845,0.19269258,0.06410888,1.02942824,0.00403465
42,3,13,2.79544660,0.19958912,0.06921596,0.19670420,0.06799569,1.04861546,0.00346021
42,3,14,2.76106771,0.16481743,0.05449323,0.16426135,0.05443864,1.06835115,0.00388990
42,3,15,2.74362509,0.15875521,0.05305953,0.15779340,0.05261479,1.07747483,0.00367592
42,3,16,2.71351194,0.15798333,0.05280692,0.15728981,0.05240567,1.09501815,0.00367931
42,3,17,2.68499065,0.16178009,0.05451580,0.16052918,0.05384024,1.11168873,0.00362504
42,3,18,2.65691346,0.15790064,0.05296677,0.15685811,0.05241404,1.13809371,0.00365752
42,3,19,2.63711510,0.15521308,0.05142866,0.15510328,0.05134976,1.15621030,0.00378139
42,3,20,2.62126700,0.15523645,0.05193129,0.15459126,0.05149849,1.16034925,0.00358525
42,3,21,2.58524946,0.16217811,0.05481321,0.16088869,0.05407189,1.18480861,0.00351616
42,3,22,2.57037246,0.15285330,0.05098628,0.15237580,0.05058794,1.19697607,0.00361674
42,3,23,2.53701568,0.15017187,0.04969928,0.14990244,0.04948548,1.22247064,0.00364012
42,3,24,2.53771954,0.15007518,0.04953283,0.14990031,0.04938965,1.23511291,0.00367444
42,3,25,2.49406943,0.15910592,0.05241008,0.15994903,0.05276630,1.25467181,0.00382055
42,3,26,2.48278005,0.14729754,0.04869778,0.14694862,0.04842848,1.27758980,0.00362602
42,3,27,2.45390868,0.16240245,0.05505349,0.16111608,0.05427441,1.28840780,0.00350961
42,3,28,2.43274422,0.15140996,0.04975181,0.15180779,0.04988321,1.31740725,0.00380657
42,3,29,2.41699048,0.16879120,0.05575284,0.17028411,0.05642977,1.32332218,0.00398149
42,3,30,2.39244579,0.14551431,0.04782066,0.14590563,0.04782399,1.35277772,0.00382249
42,3,31,2.36967735,0.14240108,0.04698944,0.14203328,0.04662881,1.38164997,0.00374460
42,3,32,2.35701788,0.14984030,0.05022983,0.14872323,0.04955734,1.40190506,0.00372752
42,3,33,2.32983496,0.13996571,0.04594374,0.13985125,0.04571850,1.43541038,0.00399327
42,3,34,2.30751189,0.13884224,0.04561869,0.13857713,0.04533997,1.46359789,0.00398116
42,3,35,2.29985255,0.14910959,0.04993197,0.14804927,0.04931108,1.47315454,0.00385074
42,3,36,2.27340099,0.13873196,0.04560487,0.13825787,0.04526257,1.50110161,0.00398568
42,3,37,2.26292689,0.18084262,0.06241433,0.17945581,0.06176041,1.52692771,0.00379618
42,3,38,2.24684920,0.14745361,0.04926329,0.14665106,0.04878976,1.54147887,0.00404182
42,3,39,2.22235480,0.13559109,0.04435089,0.13520280,0.04405065,1.57699597,0.00428566
42,3,40,2.21036104,0.15176491,0.05108786,0.15075328,0.05057583,1.60531259,0.00411644
42,3,41,2.20227871,0.13373675,0.04342723,0.13370746,0.04334900,1.62357843,0.00463623
42,3,42,2.18446600,0.13369894,0.04366802,0.13374882,0.04354487,1.63608992,0.00465557
42,3,43,2.17898350,0.13462871,0.04414390,0.13416380,0.04388926,1.65750635,0.00462309
42,3,44,2.15742372,0.13573954,0.04389421,0.13657922,0.04418795,1.68924367,0.00496232
42,3,45,2.14998731,0.13015759,0.04208273,0.13011124,0.04201172,1.70130241,0.00491929
42,3,46,2.12506768,0.12962536,0.04187277,0.12956860,0.04186326,1.73603892,0.00503554
42,3,47,2.12858307,0.13070096,0.04206301,0.13122279,0.04222926,1.73426068,0.00521374
42,3,48,2.10577116,0.13108631,0.04224164,0.13131181,0.04233702,1.77007735,0.00531922
42,3,49,2.10711473,0.17105804,0.05885225,0.17011349,0.05850526,1.78741109,0.00492251
42,3,50,2.09528692,0.12750836,0.04099485,0.12780841,0.04111409,1.80041385,0.00552269
42,3,51,2.07712686,0.12669949,0.04087939,0.12688384,0.04093281,1.82000971,0.00556169
42,3,52,2.06564858,0.12666921,0.04073543,0.12686454,0.04081888,1.83611083,0.00570487
42,3,53,2.06588519,0.13290703,0.04358862,0.13265488,0.04345516,1.85297513,0.00561188
42,3,54,2.04860152,0.14888055,0.04844059,0.14992280,0.04894074,1.87038553,0.00624355
42,3,55,2.04372661,0.12917583,0.04205894,0.12904786,0.04198671,1.88646424,0.00603156
42,3,56,2.02956255,0.12526519,0.04012456,0.12545879,0.04022231,1.90782928,0.00628672
42,3,57,2.03052847,0.12987475,0.04236439,0.12948886,0.04217866,1.91904604,0.00617161
42,3,58,2.02698608,0.12980836,0.04237700,0.12965671,0.04229268,1.92939925,0.00637178
42,3,59,2.01188008,0.12487055,0.03994010,0.12523800,0.04008399,1.94289815,0.00675621
42,3,60,2.00627470,0.12311477,0.03938251,0.12329440,0.03946261,1.95327973,0.00686473
42,3,61,2.00176352,0.12583694,0.04065020,0.12577141,0.04058227,1.95577693,0.00675871
42,3,62,1.99082246,0.12903457,0.04204157,0.12860341,0.04184697,1.96703207,0.00688080
42,3,63,1.99088989,0.12608221,0.04087803,0.12592771,0.04079605,1.98670113,0.00708846
42,3,64,1.97686388,0.12363888,0.03988684,0.12368388,0.03987057,2.00466442,0.00722543
42,3,65,1.97230226,0.12183129,0.03881906,0.12207627,0.03890551,2.01854181,0.00757386
42,3,66,1.95745424,0.12289937,0.03950072,0.12292149,0.03949839,2.03515244,0.00748780
42,3,67,1.96035156,0.12157178,0.03891313,0.12156969,0.03889642,2.04789257,0.00771560
42,3,68,1.95237278,0.12187945,0.03883381,0.12203990,0.03889860,2.06335425,0.00802482
42,3,69,1.94556773,0.12908756,0.04141504,0.12946736,0.04160805,2.08234572,0.00828862
42,3,70,1.94628766,0.12038295,0.03838958,0.12039348,0.03839231,2.08844566,0.00823330
42,3,71,1.93845069,0.12003149,0.03820784,0.12016635,0.03825701,2.10216951,0.00842791
42,3,72,1.93161990,0.12011296,0.03822015,0.12013153,0.03823363,2.11433434,0.00857433
42,3,73,1.93032071,0.12668873,0.04047177,0.12724022,0.04072070,2.12153697,0.00872000
42,3,74,1.92144688,0.14821016,0.04993828,0.14807381,0.04981390,2.13454866,0.00831352
42,3,75,1.91449226,0.12004984,0.03828723,0.12016948,0.03828366,2.15678549,0.00889493
42,3,76,1.91521980,0.13919066,0.04631393,0.13923292,0.04627654,2.16508198,0.00880359
42,3,77,1.91358353,0.11882721,0.03779182,0.11907802,0.03789461,2.17759514,0.00920888
42,3,78,1.89911631,0.11938178,0.03793708,0.11966248,0.03806010,2.19575024,0.00934091
42,3,79,1.89671831,0.11876328,0.03782274,0.11929164,0.03801355,2.20698643,0.00949341
42,3,80,1.89217838,0.12228091,0.03878362,0.12268282,0.03901903,2.21873522,0.00972549
42,3,81,1.88816805,0.11868683,0.03780290,0.11890947,0.03787824,2.23438501,0.00958084
42,3,82,1.89235669,0.12640474,0.04123824,0.12645257,0.04117687,2.23752999,0.00965091
42,3,83,1.87999651,0.11842502,0.03755749,0.11873748,0.03766961,2.26021218,0.01000671
42,3,84,1.88150961,0.12105221,0.03840396,0.12146289,0.03858780,2.27013898,0.01025931
42,3,85,1.87857668,0.12689364,0.04143862,0.12692365,0.04136082,2.28150725,0.00998857
42,3,86,1.86682090,0.11775935,0.03730803,0.11801807,0.03743948,2.30384016,0.01048481
42,3,87,1.86752403,0.11883182,0.03759903,0.11919603,0.03777266,2.31544423,0.01063727
42,3,88,1.86450432,0.11783069,0.03755980,0.11790275,0.03758907,2.32914901,0.01084742
42,3,89,1.86273602,0.12085371,0.03898604,0.12083759,0.03892383,2.34254622,0.01080187
42,3,90,1.85731547,0.11753464,0.03728541,0.11815464,0.03752798,2.35372519,0.01096012
42,3,91,1.85114280,0.11924414,0.03803852,0.11934800,0.03807919,2.36461496,0.01109025
42,3,92,1.84725005,0.11859520,0.03794276,0.11866564,0.03792111,2.38633251,0.01115182
42,3,93,1.84337344,0.11717646,0.03708983,0.11749858,0.03724039,2.39950299,0.01134057
42,3,94,1.84233792,0.11742246,0.03727793,0.11773747,0.03741094,2.41636252,0.01150252
42,3,95,1.83984549,0.12582450,0.04103422,0.12634895,0.04115971,2.43020558,0.01141189
42,3,96,1.84286309,0.12626651,0.04117457,0.12617808,0.04104887,2.42867851,0.01147333
42,3,97,1.83167851,0.11655968,0.03685383,0.11700306,0.03706018,2.45618439,0.01185628
42,3,98,1.82727475,0.12167428,0.03930224,0.12162841,0.03923503,2.47575665,0.01184960
42,3,99,1.83115469,0.12074063,0.03878351,0.12136393,0.03898084,2.48511267,0.01189924
42,3,100,1.82864791,0.11684915,0.03723093,0.11715361,0.03734821,2.50212288,0.01229755
42,4,1,1.71659846,0.11655968,0.03685383,0.11700306,0.03706018,2.45618439,0.01185628
42,4,2,1.41461885,0.11655968,0.03685383,0.11700306,0.03706018,2.45618439,0.01185628
42,4,3,1.27624502,0.11655968,0.03685383,0.11700306,0.03706018,2.45618439,0.01185628
42,4,4,1.23317996,0.11655968,0.03685383,0.11700306,0.03706018,2.45618439,0.01185628
42,4,5,1.22403010,0.11655968,0.03685383,0.11700306,0.03706018,2.45618439,0.01185628
42,4,6,1.22281378,0.11655968,0.03685383,0.11700306,0.03706018,2.45618439,0.01185628
42,4,7,1.22272613,0.11655968,0.03685383,0.11700306,0.03706018,2.45618439,0.01185628
42,4,8,1.22272197,0.11655968,0.03685383,0.11700306,0.03706018,2.45618439,0.01185628
42,4,9,1.22272062,0.11655968,0.03685383,0.11700306,0.03706018,2.45618439,0.01185628
42,4,10,1.22271630,0.11655968,0.03685383,0.11700306,0.03706018,2.45618439,0.01185628
42,4,11,1.22271517,0.11655968,0.03685383,0.11700306,0.03706018,2.45618439,0.01185628
42,4,12,1.22271187,0.11655968,0.03685383,0.11700306,0.03706018,2.45618439,0.01185628
42,4,13,1.22270678,0.11655968,0.03685383,0.11700306,0.03706018,2.45618439,0.01185628
42,4,14,1.22269656,0.11655968,0.03685383,0.11700306,0.03706018,2.45618439,0.01185628
42,4,15,1.22270262,0.11655968,0.03685383,0.11700306,0.03706018,2.45618439,0.01185628
42,4,16,1.22269289,0.11655968,0.03685383,0.11700306,0.03706018,2.45618439,0.01185628
42,5,1,1.39742544,0.11550554,0.03671673,0.11576906,0.03685377,2.46433711,0.01181818
42,5,2,1.24635540,0.11437215,0.03634902,0.11490888,0.03659589,2.47034240,0.01188311
42,5,3,1.19879765,0.11262275,0.03591921,0.11307239,0.03611915,2.47081256,0.01170721
42,5,4,1.18014107,0.11105297,0.03553858,0.11154349,0.03574432,2.46882319,0.01160641
42,5,5,1.16334985,0.10980636,0.03518492,0.11031553,0.03543654,2.46304345,0.01150534
42,5,6,1.14454260,0.10855163,0.03489013,0.10925458,0.03520681,2.45350194,0.01134885
42,5,7,1.12369347,0.10754355,0.03465484,0.10824900,0.03497737,2.44307709,0.01121403
42,5,8,1.10226032,0.10705842,0.03455935,0.10777463,0.03488803,2.42924809,0.01102147
42,5,9,1.08091271,0.10756158,0.03467197,0.10839146,0.03506164,2.41759276,0.01095387
42,5,10,1.05990478,0.10748839,0.03461764,0.10832358,0.03500490,2.40414429,0.01081259
42,5,11,1.04116072,0.10776169,0.03476446,0.10852670,0.03508303,2.39112353,0.01066057
42,5,12,1.02529161,0.11035368,0.03506943,0.11167407,0.03565064,2.37702870,0.01067676
42,5,13,1.01129949,0.11028644,0.03553447,0.11095148,0.03576718,2.35935569,0.01047361
42,5,14,1.00128887,0.11098857,0.03559589,0.11180643,0.03587467,2.34240055,0.01045164
42,5,15,0.99275268,0.11195810,0.03523983,0.11331649,0.03578562,2.32251906,0.01054604
42,5,16,0.98548985,0.11208778,0.03535263,0.11325450,0.03580535,2.30260229,0.01051952
42,5,17,0.97936812,0.11332103,0.03551481,0.11459671,0.03602257,2.28140354,0.01057554
42,5,18,0.97338463,0.11311387,0.03560135,0.11423238,0.03603206,2.25928211,0.01050166
